team1,team2,team3,score
frc2900,frc4541,frc5115,35
frc4456,frc2849,frc8514,31
frc2849,frc5115,frc2914,38
frc116,frc5243,frc6326,32
frc2900,frc888,frc9072,57
frc1446,frc686,frc1727,76
frc3748,frc2199,frc2377,55
frc5841,frc4464,frc4541,32
frc8622,frc8726,frc3793,36
frc1389,frc7886,frc1629,65
frc7770,frc116,frc1719,35
frc2537,frc6326,frc4456,35
frc5115,frc4638,frc1111,33
frc2914,frc8326,frc1908,37
frc1418,frc2849,frc5243,25
frc8514,frc614,frc6213,35
frc2199,frc1629,frc686,79
frc8622,frc1446,frc2900,19
frc3748,frc888,frc1389,59
frc7886,frc116,frc1727,61
frc2537,frc4541,frc2914,41
frc3793,frc5115,frc4464,33
frc2377,frc5841,frc1719,59
frc2914,frc2199,frc5243,15
frc1719,frc1418,frc614,42
frc8326,frc2849,frc2377,56
frc8514,frc5243,frc1111,11
frc9072,frc4456,frc7770,64
frc5841,frc8726,frc6326,53
frc1908,frc6213,frc4638,43
frc6213,frc3748,frc686,53
frc8326,frc7886,frc8622,24
frc6326,frc3793,frc9072,42
frc1908,frc2537,frc614,46
frc8592,frc2998,frc1731,63
frc2421,frc4505,frc620,17
frc3373,frc4286,frc5954,8
frc2534,frc1895,frc2106,48
frc836,frc4505,frc617,23
frc9709,frc1599,frc2421,30
frc3136,frc5587,frc1522,34
frc422,frc6863,frc539,42
frc1731,frc620,frc8590,65
frc4286,frc8592,frc2199,55
frc2534,frc8326,frc540,50
frc2998,frc1895,frc339,25
frc9709,frc836,frc4099,59
frc3373,frc612,frc6863,9
frc2998,frc4505,frc2534,15
frc422,frc3136,frc8590,53
frc1522,frc4286,frc2106,14
frc1895,frc1599,frc612,51
frc5954,frc617,frc540,0
frc620,frc2199,frc8592,43
frc1731,frc539,frc8326,83
frc4099,frc339,frc3373,37
frc2199,frc422,frc339,35
frc1522,frc3373,frc1599,34
frc5587,frc1599,frc8590,34
frc2421,frc2199,frc2534,38
frc422,frc3373,frc4505,43
frc620,frc4286,frc612,18
frc339,frc5954,frc9709,44
frc4099,frc2998,frc617,26
frc6863,frc1731,frc1895,88
frc8326,frc8592,frc3136,58
frc5587,frc2106,frc540,35
frc836,frc2421,frc1522,27
frc1599,frc8592,frc4505,45
frc539,frc9709,frc4286,32
frc2998,frc8590,frc3373,19
frc620,frc1522,frc8326,28
frc540,frc339,frc836,52
frc1731,frc422,frc2199,66
frc2421,frc539,frc612,17
frc4099,frc2534,frc5587,35
frc6863,frc617,frc3136,59
frc2106,frc5954,frc1895,33
frc3136,frc612,frc4099,46
frc4286,frc540,frc2534,10
frc4099,frc422,frc8592,84
frc1599,frc1731,frc2998,61
